SheepID,Sex,Year_,Month_,Day_
23F,F,2009,3,5
23F,F,2009,3,5
23F,F,2009,3,6
23F,F,2009,3,6
23F,F,2009,3,6
23F,F,2009,3,7
23F,F,2009,3,7
23F,F,2009,3,8
23F,F,2009,3,8
23F,F,2009,3,10
23F,F,2009,3,11
23F,F,2009,3,12
23F,F,2009,3,13
23F,F,2009,3,13
23F,F,2009,3,13
23F,F,2009,3,14
23F,F,2011,1,12
23F,F,2011,1,12
23F,F,2011,1,13
23F,F,2011,1,13
23F,F,2011,1,14
23F,F,2011,1,14
23F,F,2011,1,15
23F,F,2011,1,15
23F,F,2011,1,15
23F,F,2011,1,16
23F,F,2011,1,16
23F,F,2011,1,17
23F,F,2011,1,17
23F,F,2011,1,17
23F,F,2011,1,18
23F,F,2011,1,18
23F,F,2011,1,19
23F,F,2011,1,19
23F,F,2011,1,20
23F,F,2011,1,20
23F,F,2011,1,20
23F,F,2011,1,21
23F,F,2011,1,22
23F,F,2011,1,22
23F,F,2011,1,23
23F,F,2011,1,23
23F,F,2011,1,24
23F,F,2011,1,24
23F,F,2011,1,25
23F,F,2011,1,25
23F,F,2011,1,25
23F,F,2011,1,26
23F,F,2011,1,26
23F,F,2011,1,27
23F,F,2011,1,27
23F,F,2011,1,27
23F,F,2011,1,28
23F,F,2011,1,28
23F,F,2011,1,29
23F,F,2011,1,29
23F,F,2011,1,30
23F,F,2011,1,30
23F,F,2011,1,30
23F,F,2011,1,31
23F,F,2011,1,31
23F,F,2011,2,1
23F,F,2011,2,1
23F,F,2011,2,1
23F,F,2011,2,2
23F,F,2011,2,2
23F,F,2011,2,3
23F,F,2011,2,3
23F,F,2011,2,4
23F,F,2011,2,4
23F,F,2011,2,4
23F,F,2011,2,5
23F,F,2011,2,5
23F,F,2011,2,6
23F,F,2011,2,6
23F,F,2011,2,6
23F,F,2011,2,7
23F,F,2011,2,7
23F,F,2011,2,8
23F,F,2011,2,9
23F,F,2011,2,9
23F,F,2011,2,9
23F,F,2011,2,10
23F,F,2011,2,10
23F,F,2011,2,11
23F,F,2011,2,11
23F,F,2011,2,11
23F,F,2011,2,12
23F,F,2011,2,12
23F,F,2011,2,13
23F,F,2011,2,13
23F,F,2011,2,14
23F,F,2011,2,14
23F,F,2011,2,14
23F,F,2011,2,15
23F,F,2011,2,15
23F,F,2011,2,16
23F,F,2011,2,16
23F,F,2011,2,16
23F,F,2011,2,17
23F,F,2011,2,17
23F,F,2011,2,18
23F,F,2011,2,18
23F,F,2011,2,19
23F,F,2011,2,19
23F,F,2011,2,19
23F,F,2011,2,20
23F,F,2011,2,20
23F,F,2011,2,21
